Date,Open,High,Low,Close,Volume,Adj Close
4/25/2011,1337.14,1337.55,1331.46,1335.25,214.21,1335.25
4/26/2011,1336.75,1349.55,1336.75,1347.23,390.8,1347.23
4/27/2011,1348.43,1357.48,1344.25,1355.66,405.15,1355.66
4/28/2011,1353.85,1361.7,1353.59,1360.47,403.68,1360.47
4/29/2011,1360.14,1364.56,1358.68,1363.6,347.9,1363.6
5/2/2011,1365.2,1370.57,1358.58,1361.21,384.62,1361.21
5/3/2011,1359.76,1360.83,1349.52,1356.61,422.37,1356.61
5/4/2011,1355.9,1355.9,1341.5,1347.31,422.37,1347.31
5/5/2011,1344.16,1348,1329.17,1335.09,384.62,1335.09
5/6/2011,1340.23,1354.35,1335.57,1340.19,422.37,1340.19
5/9/2011,1340.19,1349.43,1338.64,1346.29,426.52,1346.29
5/10/2011,1348.33,1359.43,1348.33,1357.16,422.37,1357.16
5/11/2011,1354.51,1354.51,1336.35,1342.07,384.62,1342.07
5/12/2011,1339.39,1351.05,1332.03,1348.65,377.72,1348.65
5/13/2011,1348.68,1350.46,1333.35,1337.77,342.66,1337.77
5/16/2011,1334.77,1343.32,1327.31,1329.46,384.62,1329.46
5/17/2011,1326.09,1330.42,1318.51,1328.97,405.39,1328.97
5/18/2011,1328.54,1341.81,1326.58,1340.68,392.2,1340.68
5/19/2011,1342.4,1346.81,1336.35,1343.59,362.61,1343.59
5/20/2011,1342,1342,1330.67,1333.27,406.6,1333.27
5/23/2011,1333.06,1333.06,1312.88,1317.36,325.55,1317.36
5/24/2011,1317.69,1323.71,1313.86,1316.28,384.62,1316.28
5/25/2011,1316.35,1325.85,1311.8,1320.46,410.96,1320.46
5/26/2011,1320.64,1328.51,1314.41,1325.68,325.94,1325.68
5/27/2011,1325.68,1334.61,1325.68,1331.09,312.45,1331.09
5/31/2011,1331.09,1345.19,1331.09,1345.19,469.62,1345.19
6/1/2011,1345.19,1345.19,1313.7,1314.55,424.1,1314.55
6/2/2011,1314.55,1318.03,1305.6,1312.93,376.21,1312.93
6/3/2011,1312.93,1312.93,1297.9,1300.16,350.5,1300.16
6/6/2011,1300.26,1300.26,1284.71,1286.17,355.59,1286.17
6/7/2011,1286.31,1296.21,1284.73,1284.93,384.62,1284.93
6/8/2011,1284.63,1287.04,1277.42,1279.56,397.08,1279.56
6/9/2011,1279.63,1294.54,1279.63,1289,333.25,1289
6/10/2011,1288.59,1288.59,1268.28,1270.97,384.62,1270.97
6/13/2011,1271.31,1277.04,1265.64,1271.82,413.25,1271.82
6/14/2011,1272.21,1292.5,1272.21,1287.86,350.02,1287.86
6/15/2011,1287.86,1287.86,1261.9,1265.42,407.05,1265.42
6/16/2011,1265.53,1274.1,1258.06,1267.64,384.62,1267.64
6/17/2011,1268.57,1279.81,1267.4,1271.5,491.64,1271.5
6/20/2011,1271.5,1280.42,1267.56,1278.35,346.46,1278.35
6/21/2011,1278.4,1297.61,1278.4,1295.52,405.61,1295.52
6/22/2011,1295.47,1298.6,1286.79,1287.14,371.84,1287.14
6/23/2011,1286.59,1286.59,1262.86,1283.5,498.34,1283.5
6/24/2011,1283.04,1283.93,1267.23,1268.44,366.53,1268.44
6/27/2011,1268.43,1284.91,1267.53,1280.09,347.9,1280.09
6/28/2011,1280.2,1296.8,1280.2,1296.67,368.15,1296.67
6/29/2011,1296.84,1309.2,1296.84,1307.41,434.75,1307.41
6/30/2011,1307.64,1321.96,1307.64,1320.64,420.05,1320.64
7/1/2011,1320.64,1341.01,1318.18,1339.67,379.69,1339.67
7/5/2011,1339.58,1340.89,1334.3,1337.88,372.23,1337.88
7/6/2011,1337.56,1340.93,1330.92,1339.21,356.41,1339.21
7/7/2011,1339.61,1356.47,1339.61,1353.21,406.95,1353.21
7/8/2011,1352.39,1352.39,1333.7,1343.8,359.43,1343.8
7/11/2011,1343.31,1343.31,1316.42,1319.48,387.91,1319.48
7/12/2011,1319.6,1327.17,1313.32,1313.64,422.78,1313.64
7/13/2011,1314.44,1331.47,1314.44,1317.71,406,1317.71
